,Region,Area,Timely sown,Seed,Grain appearance,Hectolitre weight,Protein content,Sedimentation value,Phenol test,Fe content,Zn content,cluster
133,North West Plains Zone (NWPZ),Delhi,Restricted Irrigated Timely Sown,WH1142 (C),5.2,75.5,14.6,61.1,9.0,44.1,55.5,1
134,North West Plains Zone (NWPZ),Delhi,Restricted Irrigated Timely Sown,HD3043 (C),5.4,75.9,15.0,49.6,8.0,42.8,55.5,1
135,North West Plains Zone (NWPZ),Delhi,Restricted Irrigated Timely Sown,PBW644 (C),5.6,75.0,12.6,53.4,7.5,40.2,48.6,1
136,North West Plains Zone (NWPZ),Delhi,Restricted Irrigated Timely Sown,NW7096,5.2,75.7,13.9,58.4,7.5,38.7,54.3,1
137,North West Plains Zone (NWPZ),Delhi,Restricted Irrigated Timely Sown,DBW321,5.2,73.7,12.7,57.3,8.0,41.5,49.0,1
138,North West Plains Zone (NWPZ),Delhi,Restricted Irrigated Timely Sown,K1910,5.4,76.7,14.1,53.4,3.0,40.7,49.2,1
139,North West Plains Zone (NWPZ),Delhi,Restricted Irrigated Timely Sown,HI1654,5.4,75.7,13.8,70.8,8.0,43.5,54.1,1
140,North West Plains Zone (NWPZ),Delhi,Restricted Irrigated Timely Sown,PBW838,5.4,77.5,12.7,61.1,9.0,44.2,48.9,1
141,North West Plains Zone (NWPZ),Delhi,Restricted Irrigated Timely Sown,HD3369,5.8,77.1,12.8,71.5,8.0,42.2,44.8,1
142,North West Plains Zone (NWPZ),Delhi,Restricted Irrigated Timely Sown,UP3062,5.2,75.8,14.7,52.7,7.5,42.3,50.6,1
143,North West Plains Zone (NWPZ),Delhi,Restricted Irrigated Timely Sown,HD3368,5.4,72.8,13.7,63.1,8.5,39.9,47.6,1
144,North West Plains Zone (NWPZ),Delhi,Restricted Irrigated Timely Sown,HI1653,5.6,75.6,13.6,70.8,9.0,42.1,40.8,1
145,North West Plains Zone (NWPZ),Delhi,Restricted Irrigated Timely Sown,PBW848,5.4,77.0,13.2,58.8,8.5,40.7,52.4,1
146,North West Plains Zone (NWPZ),Pantnagar,Restricted Irrigated Timely Sown,HUW838#*,5.8,82.2,10.3,55.4,7.0,36.6,35.5,0
147,North West Plains Zone (NWPZ),Pantnagar,Restricted Irrigated Timely Sown,DBW296*,5.4,80.4,9.4,44.2,6.5,38.6,30.1,0
148,North West Plains Zone (NWPZ),Pantnagar,Restricted Irrigated Timely Sown,NIAW3170 (C),5.6,79.8,9.7,43.0,6.0,34.7,30.8,0
149,North West Plains Zone (NWPZ),Pantnagar,Restricted Irrigated Timely Sown,HI1628 (C),5.6,81.0,9.7,47.7,6.5,30.9,29.2,0
